date,malaria
2019-06-30,30
2019-07-07,34
2019-07-14,38
2019-07-21,41
2019-07-28,45
2019-08-04,40
2019-08-11,41
2019-08-18,48
2019-08-25,45
2019-09-01,45
2019-09-08,48
2019-09-15,47
2019-09-22,47
2019-09-29,44
2019-10-06,42
2019-10-13,41
2019-10-20,40
2019-10-27,38
2019-11-03,49
2019-11-10,38
2019-11-17,39
2019-11-24,36
2019-12-01,34
2019-12-08,33
2019-12-15,28
2019-12-22,24
2019-12-29,24
2020-01-05,28
2020-01-12,24
2020-01-19,27
2020-01-26,27
2020-02-02,29
2020-02-09,28
2020-02-16,27
2020-02-23,31
2020-03-01,31
2020-03-08,28
2020-03-15,53
2020-03-22,67
2020-03-29,40
2020-04-05,100
2020-04-12,50
2020-04-19,51
2020-04-26,40
2020-05-03,33
2020-05-10,35
2020-05-17,34
2020-05-24,32
2020-05-31,35
2020-06-07,33
2020-06-14,31
2020-06-21,33
2020-06-28,32
2020-07-05,38
2020-07-12,39
2020-07-19,43
2020-07-26,42
2020-08-02,38
2020-08-09,40
2020-08-16,45
2020-08-23,52
2020-08-30,44
2020-09-06,46
2020-09-13,48
2020-09-20,46
2020-09-27,45
2020-10-04,48
2020-10-11,46
2020-10-18,37
2020-10-25,37
2020-11-01,38
2020-11-08,39
2020-11-15,34
2020-11-22,37
2020-11-29,37
2020-12-06,36
2020-12-13,39
2020-12-20,31
2020-12-27,26
2021-01-03,31
2021-01-10,28
2021-01-17,29
2021-01-24,30
2021-01-31,30
2021-02-07,30
2021-02-14,32
2021-02-21,36
2021-02-28,41
2021-03-07,37
2021-03-14,39
2021-03-21,37
2021-03-28,33
2021-04-04,38
2021-04-11,41
2021-04-18,50
2021-04-25,49
2021-05-02,37
2021-05-09,34
2021-05-16,30
2021-05-23,32
2021-05-30,32
2021-06-06,29
2021-06-13,32
2021-06-20,32
2021-06-27,34
2021-07-04,39
2021-07-11,43
2021-07-18,41
2021-07-25,48
2021-08-01,47
2021-08-08,48
2021-08-15,55
2021-08-22,52
2021-08-29,49
2021-09-05,51
2021-09-12,47
2021-09-19,50
2021-09-26,49
2021-10-03,54
2021-10-10,42
2021-10-17,67
2021-10-24,51
2021-10-31,34
2021-11-07,36
2021-11-14,40
2021-11-21,35
2021-11-28,38
2021-12-05,34
2021-12-12,36
2021-12-19,30
2021-12-26,27
2022-01-02,41
2022-01-09,40
2022-01-16,41
2022-01-23,46
2022-01-30,39
2022-02-06,48
2022-02-13,48
2022-02-20,52
2022-02-27,48
2022-03-06,50
2022-03-13,45
2022-03-20,42
2022-03-27,39
2022-04-03,41
2022-04-10,33
2022-04-17,47
2022-04-24,73
2022-05-01,33
2022-05-08,38
2022-05-15,35
2022-05-22,38
2022-05-29,34
2022-06-05,38
2022-06-12,34
2022-06-19,38
2022-06-26,36
2022-07-03,42
2022-07-10,42
2022-07-17,44
2022-07-24,46
2022-07-31,48
2022-08-07,41
2022-08-14,44
2022-08-21,49
2022-08-28,45
2022-09-04,42
2022-09-11,53
2022-09-18,52
2022-09-25,46
2022-10-02,40
2022-10-09,51
2022-10-16,48
2022-10-23,40
2022-10-30,42
2022-11-06,44
2022-11-13,42
2022-11-20,39
2022-11-27,43
2022-12-04,38
2022-12-11,36
2022-12-18,34
2022-12-25,35
2023-01-01,34
2023-01-08,34
2023-01-15,37
2023-01-22,32
2023-01-29,38
2023-02-05,37
2023-02-12,37
2023-02-19,38
2023-02-26,37
2023-03-05,33
2023-03-12,37
2023-03-19,41
2023-03-26,31
2023-04-02,32
2023-04-09,36
2023-04-16,42
2023-04-23,74
2023-04-30,33
2023-05-07,30
2023-05-14,32
2023-05-21,28
2023-05-28,33
2023-06-04,33
2023-06-11,35
2023-06-18,33
2023-06-25,37
2023-07-02,39
2023-07-09,37
2023-07-16,38
2023-07-23,38
2023-07-30,44
2023-08-06,44
2023-08-13,46
2023-08-20,46
2023-08-27,46
2023-09-03,46
2023-09-10,48
2023-09-17,52
2023-09-24,46
2023-10-01,53
2023-10-08,45
2023-10-15,41
2023-10-22,40
2023-10-29,37
2023-11-05,36
2023-11-12,31
2023-11-19,34
2023-11-26,37
2023-12-03,35
2023-12-10,38
2023-12-17,33
2023-12-24,27
2023-12-31,32
2024-01-07,31
2024-01-14,31
2024-01-21,30
2024-01-28,33
2024-02-04,34
2024-02-11,31
2024-02-18,35
2024-02-25,38
